GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BankApp,com.example.bankapp.service.impl,UserServiceImpl,5,56,2,2,1,14,2,5,0,5
BankApp,com.example.bankapp.service.impl,AccountServiceImpl,5,65,0,0,0,17,1,4,1,4
BankApp,com.example.bankapp.service.impl,TransactionServiceImpl,10,132,0,2,0,34,2,6,2,5
BankApp,com.example.bankapp.service.impl,ProductServiceImpl,5,23,0,0,0,7,1,2,1,2
BankApp,com.example.bankapp.service.impl,AgreementServiceImpl,27,136,2,2,0,33,7,3,5,3
BankApp,com.example.bankapp.controller.exception,ExceptionHandlerController,0,54,0,0,0,10,0,4,0,4
BankApp,com.example.bankapp.enums,UserRole,0,15,0,0,0,3,0,1,0,1
BankApp,com.example.bankapp.enums,Currency,0,81,0,0,0,14,0,1,0,1
BankApp,com.example.bankapp.enums,TransactionType,0,75,0,0,0,13,0,1,0,1
BankApp,com.example.bankapp.enums,AgreementStatus,0,45,0,0,0,8,0,1,0,1
BankApp,com.example.bankapp.enums,Status,0,45,0,0,0,8,0,1,0,1
BankApp,com.example.bankapp.enums,AccountType,0,33,0,0,0,6,0,1,0,1
BankApp,com.example.bankapp.mapper,UserMapperImpl,2,59,4,4,1,16,4,2,0,2
BankApp,com.example.bankapp.mapper,ProductMapperImpl,2,55,6,6,1,15,6,2,0,2
BankApp,com.example.bankapp.mapper,TransactionMapperImpl,28,153,16,18,11,42,16,7,0,6
BankApp,com.example.bankapp.mapper,AccountMapper,0,17,0,0,0,3,0,3,0,3
BankApp,com.example.bankapp.mapper,AccountMapperImpl,17,171,15,19,7,44,15,7,0,5
BankApp,com.example.bankapp.mapper,TransactionMapper,0,14,0,0,0,3,0,3,0,3
BankApp,com.example.bankapp.mapper,AgreementMapperImpl,47,194,30,30,20,66,30,9,0,9
BankApp,com.example.bankapp.controller,ProductController,0,11,0,0,0,4,0,2,0,2
BankApp,com.example.bankapp.controller,AgreementController,0,28,0,0,0,7,0,3,0,3
BankApp,com.example.bankapp.controller,AuthController,0,25,0,0,0,3,0,2,0,2
BankApp,com.example.bankapp.controller,AccountController,0,29,0,0,0,7,0,4,0,4
BankApp,com.example.bankapp.controller,UserController,0,16,0,0,0,6,0,3,0,3
BankApp,com.example.bankapp.controller,TransactionController,0,16,0,0,0,5,0,3,0,3
